=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
 399      u_z     Free              0.039              0.000
 400  theta_x     Free           0.000000           -326.667
 401  theta_y     Free           0.000002              0.000
 402  theta_z     Free          -0.000389              0.000
 403      u_x     Free              6.458              0.000
 404      u_y     Free            -44.031            -80.000
 405      u_z     Free             46.657              0.000
 406  theta_x     Free          -0.000000              0.000
 407  theta_y     Free           0.000002              0.000
 408  theta_z     Free          -0.000390              0.000
 409      u_x     Free              0.213              0.000
 410      u_y     Free            -46.891           -220.000
 411      u_z     Free              0.020              0.000
 412  theta_x     Free           0.000000           -326.667
 413  theta_y     Free           0.000002              0.000
 414  theta_z     Free          -0.000389              0.000
 415      u_x     Free              6.473              0.000
 416      u_y     Free            -47.154            -80.000
 417      u_z     Free             46.664              0.000
 418  theta_x     Free          -0.000000              0.000
 419  theta_y     Free           0.000002              0.000
 420  theta_z     Free          -0.000390              0.000
 421      u_x     Free              0.212              0.000
 422      u_y     Free            -50.000           -220.000
 423      u_z     Free             -0.000              0.000
 424  theta_x     Free          -0.000000           -326.667
 425  theta_y     Free           0.000002              0.000
 426  theta_z     Free          -0.000389              0.000
 427      u_x     Free              6.488              0.000
 428      u_y     Free            -50.277            -80.000
 429      u_z     Free             46.671              0.000
 430  theta_x     Free          -0.000000              0.000
 431  theta_y     Free           0.000002              0.000
 432  theta_z     Free          -0.000390              0.000
 433      u_x     Free             -0.565              0.000
 434      u_y     Free            -40.671            538.000
 435      u_z     Free              0.059          -4326.000
 436  theta_x     Free           0.000000              0.000
 437  theta_y     Free           0.000002              0.000
 438  theta_z     Free          -0.000389              0.000
 439      u_x     Free             -1.342              0.000
 440      u_y     Free            -43.781            -80.000
 441      u_z     Free              0.039              0.000
 442  theta_x     Free           0.000000              0.000
 443  theta_y     Free           0.000002              0.000
 444  theta_z     Free          -0.000389              0.000
 445      u_x     Free             -2.897              0.000
 446      u_y     Free            -46.891            -80.000
 447      u_z     Free              0.020              0.000
 448  theta_x     Free           0.000000              0.000
 449  theta_y     Free           0.000002              0.000
 450  theta_z     Free          -0.000389              0.000
 451      u_x     Free             -5.229              0.000
 452      u_y    Fixed            -50.000          10295.530
 453      u_z    Fixed              0.000           9599.215
 454  theta_x     Free          -0.000000              0.000
 455  theta_y     Free           0.000002              0.000
 456  theta_z     Free          -0.000389              0.000

=== ELEMENT RESULTS ===

E1 (Truss 3D)
u_global [mm,rad]: [0.000, 0.000, 0.000, -0.000000, 0.000002, -0.000393, 0.016, -3.145, 0.009, -0.000000, 0.000002, -0.000393]
v_local  [mm,rad]: [0.000, 0.000, 0.000, -0.000000, 0.000002, -0.000393, 0.016, -3.145, 0.009, -0.000000, 0.000002, -0.000393]
q_local  [kN,kN·m]: [-25.454, 0.000, 0.000, 0.000, 0.000, 0.000, 25.454, 0.000, 0.000, 0.000, 0.000, 0.000]

E2 (Truss 3D)
u_global [mm,rad]: [6.265, -0.290, 46.654, -0.000000, 0.000002, -0.000391, 6.281, -3.415, 46.662, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.265, -0.290, 46.654, -0.000000, 0.000002, -0.000391, 6.281, -3.415, 46.662, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-24.413, 0.000, 0.000, 0.000, 0.000, 0.000, 24.413, 0.000, 0.000, 0.000, 0.000, 0.000]

E3 (Truss 3D)
u_global [mm,rad]: [0.016, -3.145, 0.009, -0.000000, 0.000002, -0.000393, 0.033, -6.289, 0.019, -0.000000, 0.000002, -0.000393]
v_local  [mm,rad]: [0.016, -3.145, 0.009, -0.000000, 0.000002, -0.000393, 0.033, -6.289, 0.019, -0.000000, 0.000002, -0.000393]
q_local  [kN,kN·m]: [-25.454, 0.000, 0.000, 0.000, 0.000, 0.000, 25.454, 0.000, 0.000, 0.000, 0.000, 0.000]

E4 (Truss 3D)
u_global [mm,rad]: [6.281, -3.415, 46.662, -0.000000, 0.000002, -0.000391, 6.297, -6.540, 46.670, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.281, -3.415, 46.662, -0.000000, 0.000002, -0.000391, 6.297, -6.540, 46.670, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-24.413, 0.000, 0.000, 0.000, 0.000, 0.000, 24.413, 0.000, 0.000, 0.000, 0.000, 0.000]

E5 (Truss 3D)
u_global [mm,rad]: [0.033, -6.289, 0.019, -0.000000, 0.000002, -0.000393, 0.048, -9.432, 0.025, -0.000000, 0.000002, -0.000393]
v_local  [mm,rad]: [0.033, -6.289, 0.019, -0.000000, 0.000002, -0.000393, 0.048, -9.432, 0.025, -0.000000, 0.000002, -0.000393]
q_local  [kN,kN·m]: [-23.253, 0.000, 0.000, 0.000, 0.000, 0.000, 23.253, 0.000, 0.000, 0.000, 0.000, 0.000]

E6 (Truss 3D)
u_global [mm,rad]: [6.297, -6.540, 46.670, -0.000000, 0.000002, -0.000391, 6.310, -9.666, 46.674, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.297, -6.540, 46.670, -0.000000, 0.000002, -0.000391, 6.310, -9.666, 46.674, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-20.161, 0.000, 0.000, 0.000, 0.000, 0.000, 20.161, 0.000, 0.000, 0.000, 0.000, 0.000]

E7 (Truss 3D)
u_global [mm,rad]: [0.048, -9.432, 0.025, -0.000000, 0.000002, -0.000393, 0.063, -12.572, 0.032, -0.000000, 0.000002, -0.000392]
v_local  [mm,rad]: [0.048, -9.432, 0.025, -0.000000, 0.000002, -0.000393, 0.063, -12.572, 0.032, -0.000000, 0.000002, -0.000392]
q_local  [kN,kN·m]: [-23.253, 0.000, 0.000, 0.000, 0.000, 0.000, 23.253, 0.000, 0.000, 0.000, 0.000, 0.000]

E8 (Truss 3D)
u_global [mm,rad]: [6.310, -9.666, 46.674, -0.000000, 0.000002, -0.000391, 6.323, -12.791, 46.677, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.310, -9.666, 46.674, -0.000000, 0.000002, -0.000391, 6.323, -12.791, 46.677, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-20.161, 0.000, 0.000, 0.000, 0.000, 0.000, 20.161, 0.000, 0.000, 0.000, 0.000, 0.000]

E9 (Truss 3D)
u_global [mm,rad]: [0.063, -12.572, 0.032, -0.000000, 0.000002, -0.000392, 0.077, -15.710, 0.037, -0.000000, 0.000002, -0.000392]
v_local  [mm,rad]: [0.063, -12.572, 0.032, -0.000000, 0.000002, -0.000392, 0.077, -15.710, 0.037, -0.000000, 0.000002, -0.000392]
q_local  [kN,kN·m]: [-21.680, 0.000, 0.000, 0.000, 0.000, 0.000, 21.680, 0.000, 0.000, 0.000, 0.000, 0.000]

E10 (Truss 3D)
u_global [mm,rad]: [6.323, -12.791, 46.677, -0.000000, 0.000002, -0.000391, 6.334, -15.916, 46.676, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.323, -12.791, 46.677, -0.000000, 0.000002, -0.000391, 6.334, -15.916, 46.676, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-16.751, 0.000, 0.000, 0.000, 0.000, 0.000, 16.751, 0.000, 0.000, 0.000, 0.000, 0.000]

E11 (Truss 3D)
u_global [mm,rad]: [0.077, -15.710, 0.037, -0.000000, 0.000002, -0.000392, 0.091, -18.844, 0.042, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [0.077, -15.710, 0.037, -0.000000, 0.000002, -0.000392, 0.091, -18.844, 0.042, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-21.680, 0.000, 0.000, 0.000, 0.000, 0.000, 21.680, 0.000, 0.000, 0.000, 0.000, 0.000]

E12 (Truss 3D)
u_global [mm,rad]: [6.334, -15.916, 46.676, -0.000000, 0.000002, -0.000391, 6.345, -19.040, 46.676, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.334, -15.916, 46.676, -0.000000, 0.000002, -0.000391, 6.345, -19.040, 46.676, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-16.751, 0.000, 0.000, 0.000, 0.000, 0.000, 16.751, 0.000, 0.000, 0.000, 0.000, 0.000]

E13 (Truss 3D)
u_global [mm,rad]: [0.091, -18.844, 0.042, -0.000000, 0.000002, -0.000391, 0.105, -21.974, 0.047, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [0.091, -18.844, 0.042, -0.000000, 0.000002, -0.000391, 0.105, -21.974, 0.047, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-21.108, 0.000, 0.000, 0.000, 0.000, 0.000, 21.108, 0.000, 0.000, 0.000, 0.000, 0.000]

E14 (Truss 3D)
u_global [mm,rad]: [6.345, -19.040, 46.676, -0.000000, 0.000002, -0.000391, 6.354, -22.165, 46.673, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.345, -19.040, 46.676, -0.000000, 0.000002, -0.000391, 6.354, -22.165, 46.673, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-14.682, 0.000, 0.000, 0.000, 0.000, 0.000, 14.682, 0.000, 0.000, 0.000, 0.000, 0.000]

E15 (Truss 3D)
u_global [mm,rad]: [0.105, -21.974, 0.047, -0.000000, 0.000002, -0.000391, 0.118, -25.099, 0.051, -0.000000, 0.000002, -0.000390]
